,participant_id,bp_intero_threshold,bp_extero_threshold,bp_intero_slope,sn_intero_threshold,sn_extero_threshold,sn_intero_slope,sn_extero_slope,wu_sensitivity,wu_mu_cardiac_prior,wu_sigma_cardiac_prior,wu_pi_cardiac_belief
409,sub-0511,-6.16,-0.306,12.167,-6.237,-0.288,11.345,3.315,0.702,47.884,8.038,0.172
410,sub-0512,-21.284,4.765,7.879,-21.237,4.734,5.153,5.306,0.336,36.188,1.588,1.873
411,sub-0513,-20.247,2.933,20.018,-20.322,2.947,19.603,4.636,0.397,48.106,5.412,0.081
412,sub-0514,-13.713,-1.759,13.929,-13.694,-1.761,13.211,3.765,0.529,46.811,5.097,0.186
413,sub-0515,-7.378,-0.517,9.435,-7.38,-0.501,7.662,4.612,0.819,38.443,6.121,0.22
414,sub-0516,-39.433,-6.064,7.988,-39.411,-6.071,4.592,6.041,0.154,40.019,0.784,5.267
415,sub-0517,3.255,1.814,12.552,3.261,1.841,10.949,5.406,0.661,96.522,7.867,0.582
416,sub-0519,-11.499,-5.49,12.614,-11.592,-5.453,6.346,11.655,0.688,38.442,3.182,0.667
417,sub-0520,-9.496,5.214,20.344,-9.616,5.183,20.135,3.583,0.785,47.21,12.588,0.053
418,sub-0521,-18.959,-0.107,16.569,-18.883,-0.128,16.154,3.337,0.482,43.456,5.265,0.091
419,sub-0522,-10.895,-1.225,10.653,-10.891,-1.246,10.189,2.991,0.565,40.975,4.483,0.182
420,sub-0523,-0.873,1.561,9.401,-0.879,1.529,8.067,4.208,0.96,74.763,16.982,0.323
421,sub-0524,1.651,-1.185,11.66,1.722,-1.258,8.93,6.569,0.955,87.588,15.915,0.445
422,sub-0526,12.471,1.822,9.358,12.444,1.805,7.182,5.189,0.744,116.153,4.412,0.314
423,sub-0527,0.636,-0.745,13.04,0.73,-0.761,10.775,6.341,0.812,78.463,13.701,1.265
424,sub-0528,-12.095,1.169,8.997,-12.113,1.187,7.484,4.332,0.669,36.714,4.134,0.236
425,sub-0530,-24.703,-4.725,7.145,-24.79,-4.896,3.307,7.824,0.244,48.242,0.937,4.068
426,sub-0531,0.2,1.422,22.44,0.047,1.435,22.102,3.162,0.924,80.922,20.221,0.058
427,sub-0533,-18.486,-1.239,13.208,-18.539,-1.238,12.143,4.312,0.181,56.349,2.166,3.464
428,sub-0534,-23.602,-1.314,10.89,-23.594,-1.274,8.661,5.685,0.435,42.952,2.635,1.104
429,sub-0535,2.561,1.462,15.223,2.643,1.461,14.5,4.535,0.911,93.817,16.933,0.116
430,sub-0537,-2.477,3.061,13.17,-2.472,3.076,12.341,3.863,0.708,71.138,11.995,0.354
431,sub-0538,-25.19,3.173,22.52,-25.177,3.158,20.753,8.72,0.269,53.889,3.358,2.375
432,sub-0539,-12.013,-2.177,7.361,-12.06,-2.181,4.358,5.345,0.498,44.215,1.892,1.52
433,sub-0540,-14.222,-4.866,12.138,-14.272,-4.856,8.927,6.747,0.204,58.409,1.186,4.277
434,sub-0541,-17.452,-5.068,6.229,-17.392,-5.116,2.838,6.196,0.388,44.986,1.257,2.055
435,sub-0542,3.736,6.897,8.324,3.755,6.908,4.993,6.116,0.843,107.399,6.895,0.506
436,sub-0543,-3.393,-1.457,8.875,-3.418,-1.474,8.037,3.316,0.892,56.551,12.913,0.251
437,sub-0544,-5.711,-0.051,15.392,-5.839,-0.079,12.928,7.021,0.551,63.284,4.795,0.794
438,sub-0546,-29.18,-9.825,7.237,-29.163,-9.812,4.779,4.752,0.134,29.258,0.82,5.292
439,sub-0547,-6.7,0.192,8.861,-6.731,0.182,7.603,4.016,0.693,46.194,4.596,0.295
440,sub-0548,-6.091,-2.453,10.589,-6.06,-2.457,10.331,2.131,0.633,50.519,6.552,0.117
441,sub-0549,-9.454,-0.944,12.885,-9.394,-0.949,11.863,4.326,0.636,47.863,5.746,0.298
