,participant_id,bp_intero_threshold,bp_extero_threshold,bp_intero_slope,sn_intero_threshold,sn_extero_threshold,sn_intero_slope,sn_extero_slope,wu_sensitivity,wu_mu_cardiac_prior,wu_sigma_cardiac_prior,wu_pi_cardiac_belief
264,sub-0346,-4.156,3.85,9.137,-4.127,3.834,6.785,5.303,0.928,56.965,12.372,0.352
265,sub-0348,1.058,2.563,6.805,1.038,2.555,5.879,2.912,0.471,86.671,6.784,3.165
266,sub-0349,-1.928,26.939,26.573,-1.074,23.642,18.831,27.217,0.951,83.856,16.291,0.551
267,sub-0350,6.097,2.387,4.155,6.068,2.441,1.852,5.017,0.62,92.233,1.919,1.776
268,sub-0351,-10.263,2.877,13.193,-10.289,3.389,8.564,21.024,0.754,57.789,8.71,1.007
269,sub-0352,8.185,0.111,7.715,8.186,0.126,6.619,3.403,0.745,112.213,4.832,0.352
270,sub-0353,-17.378,-3.583,7.258,-17.357,-3.54,3.723,6.182,0.427,48.691,1.44,1.954
271,sub-0354,-12.356,0.435,11.297,-12.287,0.445,10.319,3.8,0.467,51.363,3.639,0.597
272,sub-0355,-6.433,1.97,9.317,-6.406,1.956,5.091,7.187,0.149,77.011,0.747,6.261
273,sub-0356,-4.521,2.745,10.586,-4.481,2.779,9.344,4.476,0.85,47.988,10.273,0.183
274,sub-0357,13.927,1.013,9.865,13.946,1.051,7.389,5.608,0.734,115.135,3.972,0.371
275,sub-0358,-0.488,-7.57,8.388,-0.561,-7.665,4.018,9.536,0.966,80.24,15.741,0.683
276,sub-0359,11.141,-1.149,18.764,11.128,-1.154,17.128,6.762,0.814,120.249,10.638,0.118
277,sub-0360,-0.304,3.354,6.257,-0.308,3.354,3.999,4.257,0.98,80.498,16.134,0.548
278,sub-0361,-2.759,2.411,6.611,-2.742,2.324,3.818,9.65,0.952,73.71,14.419,0.698
279,sub-0362,-8.772,-0.653,6.934,-8.748,-0.652,4.641,4.471,0.391,59.493,1.604,2.574
280,sub-0363,-12.513,8.605,12.182,-12.529,8.578,11.389,3.938,0.684,57.244,6.025,0.134
281,sub-0364,-3.138,-0.472,13.567,-3.15,-0.502,9.212,8.799,0.945,73.835,15.254,0.51
282,sub-0366,-29.168,-2.913,11.097,-29.156,-2.925,9.726,4.621,0.205,34.655,1.147,2.67
283,sub-0367,2.249,4.912,18.092,2.243,4.923,17.01,5.59,0.875,88.739,16.022,0.187
284,sub-0368,-0.839,1.56,11.024,-0.818,1.556,9.445,5.001,0.865,78.835,15.019,0.564
285,sub-0369,-3.137,2.952,10.823,-3.102,2.99,7.09,7.129,0.956,69.529,15.125,0.491
286,sub-0371,-4.845,1.189,10.969,-4.851,1.206,8.342,6.11,0.25,71.897,1.187,3.345
287,sub-0372,2.423,-0.748,17.106,2.401,-0.74,16.332,4.108,0.877,96.96,16.393,0.096
288,sub-0373,-10.752,-1.432,8.191,-10.775,-1.464,7.13,3.416,0.236,48.862,1.431,3.688
289,sub-0374,-12.322,-1.556,11.152,-12.344,-1.545,10.809,2.581,0.596,36.526,4.983,0.111
290,sub-0375,-5.683,-0.749,6.161,-5.715,-0.756,4.527,3.621,0.456,39.885,1.968,1.481
291,sub-0376,-8.45,4.236,27.25,-8.651,4.213,26.653,9.409,0.66,56.086,18.184,0.02
